price,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,sold_year,sold_month
1486000,Eastwood,3,4,2,645,House,17865,30368,5.194,-33.78849,151.08514,75,1.02,159.0,14.34,2019.0,7.0
665000,Bateau Bay,3,4,3,345,House,12146,30316,6.938,-33.38486,151.47128,31,0.25,172.6,58.53,2020.0,10.0
1400000,Tascott,2,4,2,910,House,1602,36868,2.129,-33.45183,151.31618,4,1.5,171.9,46.89,2018.0,2.0
5550000,Tamarama,2,4,1,506,House,1622,73528,0.3,-33.89903,151.27112,26,0.1,197.9,6.8,2021.0,5.0
4700000,Clontarf,3,5,2,1024,House,1737,59280,0.86,-33.80794,151.25683,72,0.25,167.6,7.69,2020.0,7.0
465000,Ourimbah,1,3,1,562,House,3951,37180,87.154,-33.31517,151.32611,191,1.5,171.9,61.95,2018.0,1.0
479000,Pendle Hill,1,2,1,106,Apartment / Unit / Flat,7247,30680,1.964,-33.80402,150.95535,52,1.5,171.9,24.52,2018.0,12.0
1790000,Darlinghurst,2,2,1,99,Apartment / Unit / Flat,11320,66820,0.857,-33.8794,151.22078,50,0.1,220.1,1.87,2021.0,9.0
1180000,St Clair,2,6,2,677,House,19897,38896,7.204,-33.79794,150.78794,59,0.1,220.1,39.76,2021.0,10.0
3275000,Balgowlah,2,5,2,294,House,7961,56576,1.959,-33.79453,151.26125,58,0.1,220.1,9.16,2021.0,9.0
782000,Kincumber,2,3,3,615,House,7093,29432,9.914,-33.47252,151.40208,24,1.5,174.0,47.05,2017.0,9.0
1510000,Gladesville,2,4,2,610,House,11827,48568,3.507,-33.82789,151.12645,46,1.5,153.5,8.76,2019.0,3.0
17000000,Woollahra,3,3,2,325,House,7405,71500,1.231,-33.88581,151.24417,45,0.1,220.1,3.91,2021.0,11.0
2410000,Killcare,3,3,2,443,House,473,38584,1.657,-33.52117,151.36366,6,0.1,197.9,40.73,2021.0,5.0
1842000,Canterbury,2,3,3,645,House,7233,34632,1.964,-33.913,151.1171,6,0.1,210.1,10.09,2021.0,6.0
